time,power
0-1,13380.53097
1-2,12902.65487
2-3,12477.87611
3-4,12185.84071
4-5,12106.19469
5-6,12159.29204
6-7,12159.29204
7-8,12424.77876
8-9,13805.30973
9-10,14707.9646
10-11,15238.93805
11-12,15079.64602
12-13,14920.35398
13-14,15345.13274
14-15,15557.52212
15-16,15610.61947
16-17,15079.64602
17-18,14495.57522
18-19,14495.57522
19-20,14601.76991
20-21,15477.87611
21-22,15318.58407
22-23,14893.80531
