time,power
0-1,7729.62035
1-2,7563.135337
2-3,7487.682975
3-4,7503.57591
4-5,7428.358034
5-6,7353.140157
6-7,8043.675176
7-8,8752.721557
8-9,9315.631093
9-10,9677.963967
10-11,9566.114177
11-12,9563.84748
12-13,9852.994689
13-14,9777.776813
14-15,9592.975844
15-16,9280.432149
16-17,9442.50101
17-18,9695.21171
18-19,9583.518244
19-20,9380.47948
20-21,8995.062768
21-22,8627.805689
22-23,8333.812437
