time,power
0-1,207.5675676
1-2,205.9459459
2-3,204.3243243
3-4,202.7027027
4-5,202.7027027
5-6,201.0810811
6-7,198.6486486
7-8,207.5675676
8-9,227.027027
9-10,234.3243243
10-11,241.6216216
11-12,246.4864865
12-13,256.2162162
13-14,258.6486486
14-15,257.027027
15-16,249.7297297
16-17,241.6216216
17-18,255.4054054
18-19,262.7027027
19-20,258.6486486
21-22,247.2972973
22-23,234.3243243
23-24,222.972973
