time,power
0-1,999.0950226
1-2,966.5158371
2-3,950.2262443
3-4,961.0859729
4-5,1123.9819
5-6,1379.18552
6-7,1433.484163
7-8,1406.334842
8-9,1520.361991
9-10,1542.081448
10-11,1487.782805
11-12,1406.334842
12-13,1411.764706
13-14,1406.334842
14-15,1368.325792
15-16,1411.764706
16-17,1400.904977
17-18,1422.624434
18-19,1509.502262
19-20,1504.072398
20-21,1466.063348
21-22,1395.475113
22-23,1289.59276
