time,power
0-1,969.0744609
1-2,925.8558398
2-3,916.501835
3-4,913.2798756
4-5,925.4561148
5-6,962.2439948
6-7,1088.2562106
7-8,1260.4366666
8-9,1337.2256009
9-10,1340.1708275
10-11,1260.054512
11-12,1232.2253044
12-13,1302.851445
13-14,1345.7845482
14-15,1330.2721425
15-16,1271.6685006
16-17,1253.0790906
17-18,1283.7173549
18-19,1277.4227839
19-20,1249.5935763
20-21,1206.3793478
21-22,1110.8648336
22-23,1039.9707454
