time,power
0-1,150.29411765
1-2,146.05882353
2-3,141.82352941
3-4,139.17647059
4-5,138.11764706
5-6,145.
6-7,166.1764706
7-8,193.1764706
8-9,208. 
9-10,214.3529412
10-11,208.5294118 
11-12,194.7647059
12-13,204.2941176
13-14,210.6470588
14-15,211.7058824
15-16,204.558823
16-17,197.4117647
17-18,197.4117647
18-19,207.4705882
19-20,208.5294118
20-21,200.3235294
21-22,184.7058824
22-23,169.8823529
 
