time,power
0-1,5240.644518
1-2,5093.056389
2-3,5009.073185
3-4,4925.120858
4-5,4904.804333
5-6,5075.395215
6-7,5352.138396
7-8,5671.243692
8-9,6096.470412
9-10,6351.90903
10-11,6480.045167
11-12,6438.578461
12-13,6397.050002
13-14,6440.369279
14-15,6441.388193
15-16,6399.859734
16-17,6358.300399
17-18,6210.804898
18-19,6190.395744
19-20,6244.413617
20-21,6213.552878
21-22,6066.026501
22-23,5769.985709
